Reference, Value, Footprint, Datasheet, BOM
C1,10uF,Capacitors_SMD:C_1206_HandSoldering,
C2,1uF,Capacitors_SMD:C_1206_HandSoldering,
R2,100,Resistors_SMD:R_1206_HandSoldering,
U2,ESP-12F,ESP8266:ESP-12E,
U3,MCP1700T,TO_SOT_Packages_SMD:SOT-23_Handsoldering,,IC MICROCHIP MCP1700T-vv02E/TT
P4,PWR,Connectors_JST:JST_XH_B02B-XH-A_02x2.50mm_Straight,
P3,SERIAL,Pin_Headers:Pin_Header_Straight_1x05_Pitch2.54mm,
R1,10k,Resistors_SMD:R_1206_HandSoldering,
R3,10k,Resistors_SMD:R_1206_HandSoldering,
R4,10k,Resistors_SMD:R_1206_HandSoldering,
R5,10k,Resistors_SMD:R_1206_HandSoldering,
RV1,POT-BOURNS-3364W,manuf:BOURNS-3364-W,
SW3,Switch_SPDT_x2,switches:SW_SPDT_PCM12,
P5,INSPECTION,Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm,
CS1,CS,cap-sensor:cap_sensor_probe,
SW1,RESET,switches:SKQGAFE010_Switch,
SW2,FLASH,switches:SKQGAFE010_Switch,
U1,74LS14,KiCad/Housings_SOIC.pretty:SOIC-14_3.9x8.7mm_Pitch1.27mm,
